,0,1,2
0,rtst,94522,249532
1,rtst,304042,460555
2,rtst,1277564,2279012
3,rtst,2708575,2808052
4,rtst,4743055,4895038
5,rtst,4961003,5074589
6,rtst,5405065,5539042
7,rtst,7580014,7878025
8,rtst,8572030,8684041
9,rtst,8889582,9039540
10,rtst,9359561,9646026
11,rtst,14662524,14675587
12,rtst,15492030,15631016
13,rtst,16648044,16960642
14,rtst,17053063,17663502
15,rtst,18021600,18255050
16,sst,19359000,19359031
17,sst,20025000,20025134
18,sst,20619500,20619509
19,sst,6392000,6406176
20,sst,7587000,7587134
21,sst,8889500,8889664
22,sst,10948000,10948066
23,sst,13588000,13588052
24,sst,14670000,14670120
25,sst,17053000,17053126
26,rtst,17651022,17793086
27,rtst,20025067,20177509
