,0,1,2
0,rtst,161541,441033
1,rtst,1798001,2140507
2,rtst,3054551,3172065
3,rtst,3346051,3615071
4,rtst,3974081,4190550
5,rtst,4697020,4957033
6,rtst,5056559,5420580
7,rtst,5492060,6333556
8,rtst,6854568,7560008
9,rtst,7657507,8223546
10,rtst,8228539,8417040
11,rtst,8872007,9085011
12,rtst,9096024,9160010
13,rtst,9168537,9431525
14,rtst,9892518,9948061
15,rtst,10478536,10865503
16,rtst,12786064,12821001
17,rtst,13211061,13269578
18,rtst,13812116,13916067
19,rtst,14807059,15198004
20,rtst,15474046,15548083
21,rtst,16089509,16160513
22,rtst,16459552,16709048
23,rtst,16749570,17265506
24,rtst,17297001,17383532
25,rtst,17569503,17748560
26,rtst,17884507,17997517
27,rtst,18030501,18183085
28,rtst,18670586,19046027
29,rtst,316092,467519
30,rtst,499501,554051
31,rtst,10658535,11304553
32,rtst,13719585,13848583
33,rtst,14154622,14172009
34,rtst,15407021,15427506
35,rtst,15456069,15497028
36,rtst,15505025,15532567
37,rtst,15753566,15837069
38,rtst,16292096,16423545
39,rtst,16494042,16705516
40,rtst,16748571,17240507
41,rtst,17480512,17662022
42,rtst,18113022,18668517
43,rtst,18903516,19207551
